ParName   Value   Gradient
theta[2]     0.242637    4.26e-006
theta[4]      19.8467 4.95499e-005
theta[5]      14.9931  -0.00116087
theta[7]     0.649078 -9.05605e-007
theta[9]    -0.492813 7.40123e-008
theta[13]     0.992333 -2.19561e-006
theta[14]     0.704018 2.09382e-006
theta[15]     0.871166 -9.07506e-007
theta[16]      0.68631 -1.68963e-006
theta[17]      0.50494 5.38824e-007
theta[18]     0.468398 7.43815e-007
theta[19]     0.297897   6.022e-007
theta[20]     0.330555 1.79518e-007
theta[21]     0.365686 1.43014e-006
theta[22]     0.157877 1.98397e-006
theta[23]     0.163626 7.64362e-007
theta[24]    0.0544687  2.5644e-006
theta[25]     0.117866  1.3209e-006
theta[26]    0.0268324 2.15163e-006
theta[27]    -0.180883 2.20956e-006
theta[28]    -0.344051 2.16531e-006
theta[29]    -0.675743 2.33597e-006
theta[30]     -1.12371 1.02259e-006
theta[31]     -1.14455 5.45494e-007
theta[52]      1.23891 -2.33743e-006
theta[53]      1.51581 -3.36384e-006
theta[54]      1.41168 -3.73475e-006
theta[55]      1.16047 -1.15899e-006
theta[56]      1.07463 -1.83576e-006
theta[57]     0.605433 -5.26543e-007
theta[58]     0.215553 -3.67548e-007
theta[59]   -0.0287365 -2.0651e-006
theta[60]    -0.222715 -2.69262e-007
theta[61]    -0.552198 4.08002e-006
theta[62]    -0.941313 -2.32742e-006
theta[63]     -1.19716 1.15882e-006
theta[64]     -1.42929 -2.7722e-006
theta[65]     -1.80244 3.70686e-007
theta[66]     -1.90957 1.69769e-006
theta[67]     -1.85015 -1.36111e-006
Grwth[21]      1.11009 1.04757e-007
Grwth[42]      1.46702 -1.71704e-006
Grwth[85]      140.723 8.69152e-006
Grwth[86]    0.0577328 -6.22406e-007
Grwth[87]      140.059 -3.18753e-005
Grwth[88]    0.0711354 -1.48374e-006
log_slx_pars[1]      4.74651 -1.49999e-005
log_slx_pars[2]      2.19615 1.97739e-006
log_slx_pars[3]      4.47162 -1.1095e-006
log_slx_pars[4]      1.84128 1.09652e-006
log_slx_pars[5]      5.11922 9.98079e-006
log_slx_pars[6]      2.81775 -6.10915e-006
log_slx_pars[7]      4.63743 -1.73028e-006
log_slx_pars[8]      2.16971 -1.41724e-008
log_slx_pars[9]       4.5099 2.79301e-006
log_slx_pars[10]     0.913481 1.57589e-008
log_slx_pars[11]      4.80154 5.84805e-006
log_slx_pars[12]      2.34696 -4.18496e-007
log_slx_pars[13]      4.18443 1.13232e-005
log_slx_pars[14]      2.29921 2.42382e-006
log_slx_pars[15]      3.63923 3.64015e-006
log_slx_pars[16]      3.23221 1.26944e-005
log_slx_pars[17]      4.42079  0.000171545
log_slx_pars[18]      2.42785 3.43402e-006
log_slx_pars[19]       4.9217 -5.62346e-007
log_slx_pars[20]     0.686447 -1.05921e-006
log_slx_pars[21]       4.9279 -4.10195e-005
log_slx_pars[22]     0.673603 7.18775e-007
log_fbar[1]     -1.49669 -1.73591e-005
log_fbar[2]     -4.29709 -3.9589e-005
log_fbar[3]     -5.45902 -1.62645e-005
log_fbar[4]     -6.64177 -1.71256e-005
log_fdev[1](1)     0.618348 -2.52879e-006
log_fdev[1](2)     0.624081 1.60434e-006
log_fdev[1](3)     0.569403 2.93734e-006
log_fdev[1](4)     0.688081 2.57324e-006
log_fdev[1](5)     0.912695 3.01156e-006
log_fdev[1](6)      1.79733 3.36968e-006
log_fdev[1](7)      2.31154 -1.41576e-007
log_fdev[1](8)     0.665194 7.78755e-008
log_fdev[1](9)     -9.03078 -3.21132e-006
log_fdev[1](10)      1.02801 -2.79005e-006
log_fdev[1](11)      1.09323 -2.82112e-006
log_fdev[1](12)      1.29292 3.40786e-006
log_fdev[1](13)     0.841624 2.44054e-006
log_fdev[1](14)   -0.0949621 -5.67959e-006
log_fdev[1](15)    0.0236393 1.16086e-006
log_fdev[1](16)     0.665896 -6.13525e-006
log_fdev[1](17)     0.672907 -3.49999e-006
log_fdev[1](18)     0.151044 7.73179e-006
log_fdev[1](19)     0.822697 -3.76692e-006
log_fdev[1](20)     -4.32393 -5.53109e-006
log_fdev[1](21)       -4.724 -5.29682e-006
log_fdev[1](22)    -0.234094 -7.64734e-006
log_fdev[1](23)    -0.168834 -9.44535e-006
log_fdev[1](24)     0.795775 2.16847e-006
log_fdev[1](25)      0.38641 6.04732e-006
log_fdev[1](26)    -0.212023 -1.36507e-006
log_fdev[1](27)     -0.29524 -4.21457e-006
log_fdev[1](28)    -0.187125 -5.1021e-006
log_fdev[1](29)     0.276738  3.1209e-006
log_fdev[1](30)     0.233156 -1.36516e-006
log_fdev[1](31)     0.509896 2.66523e-006
log_fdev[1](32)     0.246177 5.02155e-006
log_fdev[1](33)     0.612122 4.99894e-006
log_fdev[1](34)     0.775266 -1.11389e-006
log_fdev[1](35)     0.569422 4.31195e-006
log_fdev[1](36)     0.420079 1.13339e-005
log_fdev[1](37)     -0.21827 -2.23129e-006
log_fdev[1](38)     -0.29534 2.30062e-007
log_fdev[1](39)    -0.129205 6.20573e-006
log_fdev[1](40)     0.189804 4.21543e-006
log_fdev[1](41)     0.213985 -3.59149e-006
log_fdev[1](42)     0.153851 -8.72521e-006
log_fdev[1](43)    0.0112264 -4.20388e-006
log_fdev[1](44)    -0.258751 -1.89097e-005
log_fdev[2](1)     0.110775 -2.87307e-006
log_fdev[2](2)     0.575224 -1.0939e-005
log_fdev[2](3)     0.573205  6.8605e-006
log_fdev[2](4)     0.654862 -6.47985e-006
log_fdev[2](5)      1.37454 1.29303e-006
log_fdev[2](6)      1.10533 -2.74173e-006
log_fdev[2](7)      2.38187 -7.30178e-007
log_fdev[2](8)       2.1205 -2.93311e-006
log_fdev[2](9)      3.36737 -1.76461e-006
log_fdev[2](10)      2.17211 -1.03392e-006
log_fdev[2](11)       1.1093 -1.25807e-007
