ParName   Value   Gradient
theta[3]     -1.58682 -8.45609e-005
theta[4]       -4.695  0.000549582
theta[10]    -0.155739 5.63593e-006
theta[11]     -0.16284 5.37449e-006
theta[12]    -0.157517 5.81326e-006
theta[13]    -0.161279 3.21537e-006
theta[14]    -0.166071 5.43671e-006
theta[15]     -0.15822 7.73879e-006
theta[16]    -0.162617  5.4234e-006
theta[17]    -0.167401 7.71511e-006
theta[18]    -0.158873 7.96635e-006
theta[19]     -0.16123 3.51715e-006
theta[20]    -0.171396 -4.68847e-006
theta[21]    -0.160638 5.79573e-006
theta[22]      -0.1585 4.34869e-006
theta[23]    -0.161627 -2.30907e-008
theta[24]    -0.173205 -5.11451e-006
theta[25]    -0.161564 1.92617e-006
theta[26]    -0.158758 6.26534e-006
theta[27]    -0.159563 5.50475e-006
theta[28]    -0.175815 -8.03766e-006
theta[29]    -0.171898 -1.0872e-006
theta[30]    -0.154395 5.41591e-006
theta[31]    -0.158607  8.5404e-006
theta[32]    -0.156509 -1.31855e-005
theta[33]    -0.176271 -1.03214e-005
theta[34]    -0.172154 -3.16462e-006
theta[35]    -0.153556 4.84072e-006
theta[36]    -0.157811 1.25588e-006
theta[37]    -0.130774 -4.7034e-006
theta[38]    -0.154467 -3.73487e-006
theta[39]    -0.175047 -9.73689e-006
theta[40]    -0.164487 -1.49456e-005
theta[41]    -0.141804 -6.09516e-006
theta[42]    -0.113698 -5.29912e-006
theta[43]      5.45891 -8.8795e-006
Grwth[1]      5.55103 -0.000718906
Grwth[2]    -0.139087  0.000542986
log_slx_pars[5]      4.76671  0.000274609
log_slx_pars[6]     0.982045 -0.000158626
log_fbar[1]     -1.76623  7.1354e-005
log_fbar[2]     -6.44738  0.000421078
log_fdev[1](1)     0.576159 -3.18047e-006
log_fdev[1](2)     0.187513 9.42767e-005
log_fdev[1](3)     0.045895  0.000113636
log_fdev[1](4)     -1.24809 -2.18071e-005
log_fdev[1](5)     0.351472 5.04813e-005
log_fdev[1](6)    0.0870527 -0.000107316
log_fdev[2](1)    0.0754221 -1.96785e-005
log_fdev[2](2)      2.32092 7.00107e-005
log_fdev[2](3)      2.12597  0.000107537
log_fdev[2](4)     0.461688  7.1471e-005
log_fdev[2](5)     -1.65932 -4.2229e-005
log_fdev[2](6)     -1.11978 2.22989e-005
log_fdev[2](7)    -0.972024 -6.55818e-005
log_fdev[2](8)     0.297677 -0.000160659
log_fdev[2](9)     0.247239 -0.000178651
log_fdev[2](10)     -1.42582 -0.000241203
log_fdev[2](11)    0.0159935 -4.89094e-005
log_fdev[2](12)    -0.471033 1.44891e-006
log_fdev[2](13)     -1.33589  3.9222e-005
log_fdev[2](14)   -0.0990701 5.92642e-005
log_fdev[2](15)    -0.186694 6.41463e-005
log_fdev[2](16)     0.893202 8.77834e-005
log_fdev[2](17)    -0.990746 8.47383e-005
log_fdev[2](18)     0.503396  0.000101879
log_fdev[2](19)    -0.697875  0.000130002
log_fdev[2](20)     0.578707  0.000139169
log_fdev[2](21)     0.451198  0.000123209
log_fdev[2](22)       1.4651  0.000151795
log_fdev[2](23)    -0.195244  0.000144976
log_fdev[2](24)    -0.973197  0.000154302
log_fdev[2](25)     0.562755  0.000142408
log_fdev[2](26)    -0.819101  0.000133572
log_fdev[2](27)    -0.310914  0.000133067
log_fdev[2](28)      1.25744 -1.44014e-005
log_foff[1]            0            0
rec_dev_est(1977)     -7.99994 -3.15018e-007
rec_dev_est(1978)     -7.99994 3.01878e-007
rec_dev_est(1979)     -7.99994 3.80702e-007
rec_dev_est(1980)     -7.99993 1.23477e-006
rec_dev_est(1981)      -7.9999  5.2317e-007
rec_dev_est(1982)      2.45172 -5.40786e-006
rec_dev_est(1983)     -7.99805  1.9269e-007
rec_dev_est(1984)      7.53461 -0.000104766
rec_dev_est(1985)     -7.99236  6.5305e-008
rec_dev_est(1986)     -7.99682 -6.60003e-007
rec_dev_est(1987)       2.4089 -1.31381e-005
rec_dev_est(1988)      4.07045 -1.68588e-005
rec_dev_est(1989)     -7.73052 -3.81641e-005
rec_dev_est(1990)     -7.99121 -1.6627e-006
rec_dev_est(1991)      5.59614 -1.85532e-005
rec_dev_est(1992)            8 7.67545e-005
rec_dev_est(1993)     -6.47487  0.000125032
rec_dev_est(1994)      4.87048   -9.26e-006
rec_dev_est(1995)     -7.99666 -4.36889e-008
rec_dev_est(1996)     -7.99864 -1.52532e-007
rec_dev_est(1997)     -7.99862 -2.61725e-007
rec_dev_est(1998)     -7.99487 -1.37769e-006
rec_dev_est(1999)      4.08098 3.14666e-005
rec_dev_est(2000)      4.84645 5.13925e-005
rec_dev_est(2001)      4.97049 9.22684e-005
rec_dev_est(2002)      5.09199  0.000102769
rec_dev_est(2003)     -7.90344 7.86636e-006
rec_dev_est(2004)     -7.99283 2.53924e-006
rec_dev_est(2005)     -7.99912 -6.41843e-006
rec_dev_est(2006)      4.29556 1.59057e-006
rec_dev_est(2007)      2.01552 -1.05512e-005
rec_dev_est(2008)      1.97436 -1.64861e-006
