ParName   Value   Gradient
theta[4]      7.85631 -0.000624287
theta[10]      14.9403 -0.000791932
theta[11]      14.4877   -0.0005435
theta[12]      14.3098 -0.000372199
log_slx_pars[1]    -0.805303  3.8215e-006
log_slx_pars[2]    -0.439314 1.58124e-005
log_slx_pars[4]    -0.516071 -2.03659e-006
log_slx_pars[5] -4.63858e-009 1.30509e-007
log_slx_pars[11]    -0.334472 -6.23985e-007
log_slx_pars[12] -3.96864e-009 2.45574e-007
log_slx_pars[14]    -0.756587  1.7963e-006
log_slx_pars[15] -2.46699e-008 3.00323e-009
log_fbar[1]     -2.10741 -0.000966079
log_fbar[2]     -9.40455 2.77025e-005
log_fbar[3]     -8.10156 3.11759e-005
log_fdev[1](1)     0.948069  0.000201991
log_fdev[1](2)     -1.61262  4.9135e-005
log_fdev[1](3)      -2.5051 -0.000365088
log_fdev[1](4)     0.714705     -0.00056
log_fdev[1](5)      1.44611 -0.000222616
log_fdev[1](6)      1.93853 -4.91162e-005
log_fdev[1](7)      1.53452 -0.000253881
log_fdev[1](8)      1.14788 -0.000233406
log_fdev[1](9)     0.551231 -0.000174621
log_fdev[1](10)     0.503772 -0.000124682
log_fdev[1](11)     0.564308  -0.00016479
log_fdev[1](12)     0.315708 -0.000151675
log_fdev[1](13)     0.631049 -0.000106108
log_fdev[1](14)      1.10305 -8.65611e-005
log_fdev[1](15)     0.782039 5.13596e-006
log_fdev[1](16)     0.905119 2.25404e-005
log_fdev[1](17)      1.19146 2.76421e-005
log_fdev[1](18)     0.977989  0.000189817
log_fdev[1](19)      1.02404  0.000193398
log_fdev[1](20)      1.51883  0.000113571
log_fdev[1](21)      1.44027  0.000216424
log_fdev[1](22)    -0.147311 7.68764e-005
log_fdev[1](23)     0.955345 3.34716e-005
log_fdev[1](24)      1.60611 9.95413e-007
log_fdev[1](25)      1.88023 9.93437e-006
log_fdev[1](26)      0.21154 5.20197e-005
log_fdev[1](27)    -0.814701 5.52515e-005
log_fdev[1](28)     -7.15504 1.41962e-006
log_fdev[1](29)     -7.04696 1.91165e-006
log_fdev[1](30)     -4.61017 3.57397e-007
log_fdev[2](1)      1.67136 1.77852e-006
log_fdev[2](2)      1.11543 2.03862e-006
log_fdev[2](3)     0.773379 4.08912e-006
log_fdev[2](4)    -0.751287 4.51075e-006
log_fdev[2](5)   -0.0196732 4.15891e-006
log_fdev[2](6)    -0.216981 3.35638e-006
log_fdev[2](7)    -0.138395 3.40814e-006
log_fdev[2](8)     0.232961 2.77943e-006
log_fdev[2](9)      1.07462 1.35344e-006
log_fdev[2](10)     0.990323 1.24893e-006
log_fdev[2](11)     0.926084 1.42217e-006
log_fdev[2](12)      1.35055 1.72971e-006
log_fdev[2](13)      1.77002 7.24511e-007
log_fdev[2](14)    -0.559685 1.39732e-006
log_fdev[2](15)      1.08042    1.37e-006
log_fdev[2](16)      2.65769 3.96271e-007
log_fdev[2](17)     -1.54632 4.10331e-007
log_fdev[2](18)    0.0884377 3.49853e-007
log_fdev[2](19)     0.873692 8.34208e-007
log_fdev[2](20)     0.313381 8.48846e-007
log_fdev[2](21)    -0.310878 1.20006e-006
log_fdev[2](22)     -2.67665 8.82064e-007
log_fdev[2](23)     0.402128 7.08709e-007
log_fdev[2](24)     -2.41786 7.69468e-007
log_fdev[2](25)     -2.30547 3.72645e-007
log_fdev[2](26)     0.824004 6.47846e-007
log_fdev[2](27)    -0.635766 1.04456e-006
log_fdev[2](28)     -4.56551 1.03236e-006
log_fdev[3](1)      -3.9955 2.59379e-006
log_fdev[3](2)   -0.0596805 2.09051e-006
log_fdev[3](3)     -1.65566 3.30336e-006
log_fdev[3](4)     -3.30542 3.86151e-006
log_fdev[3](5)     -2.86336 3.98137e-006
log_fdev[3](6)     -3.92773 2.78377e-006
log_fdev[3](7)     -2.45738 2.95934e-006
log_fdev[3](8)    -0.474493 2.03288e-006
log_fdev[3](9)     0.772895 1.94998e-006
log_fdev[3](10)    -0.312609 1.10023e-006
log_fdev[3](11)      0.16781 6.69527e-007
log_fdev[3](12)     -0.52954 1.36292e-006
log_fdev[3](13)     0.594251 1.63237e-006
log_fdev[3](14)    0.0801832 1.31683e-006
log_fdev[3](15)    -0.057087 1.69748e-006
log_fdev[3](16)     0.692424 6.71495e-007
log_fdev[3](17)       4.5735 -2.51285e-006
log_fdev[3](18)      1.98372   3.926e-007
log_fdev[3](19)      2.04469 1.61529e-006
log_fdev[3](20)      2.30129 1.02456e-007
log_fdev[3](21)   -0.0694498 1.73803e-006
log_fdev[3](22)     0.228696 5.43995e-007
log_fdev[3](23)    -0.162563 1.72445e-006
log_fdev[3](24)     0.172045 1.09312e-006
log_fdev[3](25)     0.657215 1.28152e-006
log_fdev[3](26)      1.48831 6.72623e-007
log_fdev[3](27)        2.827 8.18138e-007
log_fdev[3](28)      1.28646  7.2613e-007
rec_dev_est(1978)      7.97804 -0.000117875
rec_dev_est(1979)      7.80479 -0.000218972
rec_dev_est(1980)      6.42309 -0.000120805
rec_dev_est(1981)      7.01252 -0.000135291
rec_dev_est(1982)      5.98777 -5.43943e-005
rec_dev_est(1983)      6.01616 -3.94773e-005
rec_dev_est(1984)      6.46716 -3.73241e-005
rec_dev_est(1985)      6.85593 -3.18225e-005
rec_dev_est(1986)      6.76128 1.91601e-006
rec_dev_est(1987)      6.68078 3.72507e-005
rec_dev_est(1988)      7.64166  0.000116297
rec_dev_est(1989)      6.97963  0.000114664
rec_dev_est(1990)      7.13773  0.000150164
rec_dev_est(1991)      7.22514  0.000170868
rec_dev_est(1992)      7.34967   0.00017984
rec_dev_est(1993)      6.83661  0.000105078
rec_dev_est(1994)      7.05722 9.73684e-005
rec_dev_est(1995)       7.0432 6.84461e-005
rec_dev_est(1996)      6.14146 1.79276e-005
rec_dev_est(1997)       5.8714 1.01149e-005
rec_dev_est(1998)      5.54831  1.5029e-005
rec_dev_est(1999)      5.64528 1.50582e-005
rec_dev_est(2000)      5.58089 1.49197e-005
rec_dev_est(2001)      -7.9874  8.2369e-009
rec_dev_est(2002)     -7.97881 4.34219e-009
rec_dev_est(2003)      5.01682 1.16053e-005
rec_dev_est(2004)        5.926 2.96937e-005
rec_dev_est(2005)      6.15611 4.14052e-005
rec_dev_est(2006)      5.42528 2.46071e-005
rec_dev_est(2007)      6.39564 4.72862e-005
rec_dev_est(2008)      6.02651 2.97093e-005
rec_dev_est(2009)      5.97726 2.85293e-005
rec_dev_est(2010)      5.72119  2.1684e-005
rec_dev_est(2011)      4.58504 7.65862e-006
rec_dev_est(2012)      5.10223 9.08874e-006
rec_dev_est(2013)      4.77695 2.19292e-006
rec_dev_est(2014)      4.54309 1.56069e-006
rec_dev_est(2015)      4.66483 1.23872e-006
rec_dev_est(2016)      4.26741 1.53744e-007
rec_dev_est(2017)      4.45893 -3.03013e-007
rec_dev_est(2018)      5.08267 -2.0196e-007
m_dev_est[1]       1.5118 -1.08207e-005
m_mat_mult[1]            0            0
survey_q[2]   0.00390976  0.000504264
